[2026-07-09T11:32:43.155Z] GET https://fonts.gstatic.com/s/alegreyasans/v28/5aUu9_-1phKLFgshYDvh6Vwt5alOqEp2i0VBuxM.woff2 → 200 (?ms, ?B)
[2026-07-09T11:32:43.155Z] GET https://fonts.gstatic.com/s/alegreyasans/v28/5aUu9_-1phKLFgshYDvh6Vwt5eFIqEp2i0VBuxM.woff2 → 200 (?ms, ?B)
[2026-07-09T11:32:43.155Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU58FyLNQOQZAnv9ZwNjucMHVn85Ni7emAe9lKqZTnbB-gzTK0K1ChjeveQ7ZXk8g.woff2 → 200 (?ms, ?B)
[2026-07-09T11:32:43.155Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU78FyLNQOQZAnv9bYEvDiIdE9Ea92uemAk_WBq8U_9v0c2Wa0KxC9TeP2Xz5c.woff2 → 200 (?ms, ?B)
[2026-07-09T11:32:43.155Z] GET https://fonts.gstatic.com/s/yellowtail/v25/OZpGg_pnoDtINPfRIlLohlvHwWL9f4k.woff2 → 200 (?ms, ?B)
[2026-07-09T11:32:43.176Z] GET http://localhost:4870/assets/paul_sq.jpg → 304 (?ms, ?B)
[2026-07-09T11:32:43.176Z] GET http://localhost:4870/assets/directorhodl_sq.jpg → 304 (1ms, ?B)
[2026-07-09T11:32:43.176Z] GET http://localhost:4870/assets/govinda_sq.jpg → 304 (1ms, ?B)
[2026-07-09T11:32:44.385Z] GET http://localhost:4870/assets/favicon-32.png → 304 (?ms, ?B)
[2026-07-09T11:32:44.385Z] GET https://image.nostr.build/54e038ebc87ebfa929b112b36400067037b047d832890203e7ee11c8468aaf31.jpg → 200 (?ms, 82479B)
[2026-07-09T11:32:44.394Z] GET https://video.nostr.build/404c8c4489d61bcb5a5df94bb221ae78c50b8ac104987db67d6fcb1cff3a297d.mov → 206 (?ms, ?B)
[2026-07-09T11:32:44.394Z] GET https://blossom.primal.net/a0499a4f1dde4a3869f0fb9679e8d128d594847ce76f8e114996d667fd12d26b.mov → 302 (371ms, ?B)
[2026-07-09T11:32:44.394Z] GET https://blossom.primal.net/a0499a4f1dde4a3869f0fb9679e8d128d594847ce76f8e114996d667fd12d26b.mov → 302 (296ms, ?B)
[2026-07-09T11:32:44.394Z] GET https://blossom.primal.net/350610436890b4b46777150e6a61f0bce24c77662feda67c65f47b371920623a.mp4 → 302 (295ms, ?B)
[2026-07-09T11:32:44.397Z] GET https://m.primal.net/HQwT.png → 302 (281ms, ?B)
[2026-07-09T11:32:44.678Z] GET https://primal.b-cdn.net/media-upload?u=https%3A%2F%2Fmedia.primal.net%2Fuploads%2Fc%2Fb2%2F2f%2Fcb22fb7ede6c5e868e14a96eaae9e0c57a11d6deda5c7e2616837a26514e9d0d.png → 200 (?ms, 15456B)
[2026-07-09T11:32:44.689Z] GET https://r2a.primal.net/uploads2/3/50/61/350610436890b4b46777150e6a61f0bce24c77662feda67c65f47b371920623a.mp4 → 206 (1ms, ?B)
[2026-07-09T11:32:44.690Z] GET https://r2a.primal.net/uploads2/a/04/99/a0499a4f1dde4a3869f0fb9679e8d128d594847ce76f8e114996d667fd12d26b.mov → pending (?ms, ?B)
[2026-07-09T11:32:44.766Z] GET https://r2a.primal.net/uploads2/a/04/99/a0499a4f1dde4a3869f0fb9679e8d128d594847ce76f8e114996d667fd12d26b.mov → pending (?ms, ?B)
