[2026-07-09T12:32:13.610Z] GET https://open.spotifycdn.com/cdn/build/web-player/home-hpto.8f2c2622.js → pending (?ms, ?B)
[2026-07-09T12:32:13.610Z] GET https://open.spotifycdn.com/cdn/build/web-player/home-ads-container.13525557.js → 200 (75ms, 1581B)
[2026-07-09T12:32:13.610Z] GET https://open.spotifycdn.com/cdn/build/web-player/xpui-routes-offline-browse.fc5bdd6c.css → pending (?ms, ?B)
[2026-07-09T12:32:13.610Z] GET https://open.spotifycdn.com/cdn/build/web-player/xpui-routes-offline-browse.528f1396.js → pending (?ms, ?B)
[2026-07-09T12:32:13.610Z] GET https://open.spotifycdn.com/cdn/build/web-player/dwp-offline-empty-state.914ad547.css → pending (?ms, ?B)
[2026-07-09T12:32:13.610Z] GET https://open.spotifycdn.com/cdn/build/web-player/dwp-offline-empty-state.5de6c933.js → pending (?ms, ?B)
[2026-07-09T12:32:13.611Z] GET https://apresolve.spotify.com/?type=dealer-g2&type=spclient → pending (?ms, ?B)
[2026-07-09T12:32:13.611Z] GET https://open.spotify.com/api/token?reason=init&productType=web-player&totp=992179&totpServer=992179&totpVer=61 → pending (?ms, ?B)
[2026-07-09T12:32:13.668Z] GET https://www.google.com/recaptcha/enterprise/anchor?ar=1&k=6LfCVLAUAAAAALFwwRnnCJ12DalriUGbj8FW_J39&co=aHR0cHM6Ly9vcGVuLnNwb3RpZnkuY29tOjQ0Mw..&hl=en&v=TnA7HacJFoDyljdc3L82L3Rh&size=invisible&anchor-ms=20000&execute-ms=30000&cb=ejqj14yr6myp → pending (?ms, ?B)
[2026-07-09T12:32:13.801Z] GET https://apresolve.spotify.com/?type=dealer-g2&type=spclient → 200 (256ms, 288B)
[2026-07-09T12:32:13.804Z] GET https://www.gstatic.com/recaptcha/releases/TnA7HacJFoDyljdc3L82L3Rh/styles__ltr.css → 200 (181ms, 83001B)
[2026-07-09T12:32:13.804Z] GET https://www.gstatic.com/recaptcha/releases/TnA7HacJFoDyljdc3L82L3Rh/recaptcha__en.js → 200 (15ms, 895421B)
[2026-07-09T12:32:14.165Z] GET https://www.google.com/recaptcha/enterprise/webworker.js?hl=en&v=TnA7HacJFoDyljdc3L82L3Rh → 200 (92ms, 102B)
[2026-07-09T12:32:14.171Z] GET https://www.gstatic.com/recaptcha/api2/logo_48.png → 200 (76ms, 2228B)
[2026-07-09T12:32:14.171Z] GET https://fonts.gstatic.com/s/roboto/v48/KFO7CnqEu92Fr1ME7kSn66aGLdTylUAMa3yUBHMdazQ.woff2 → 200 (179ms, 34668B)
[2026-07-09T12:32:14.183Z] POST https://gew4-spclient.spotify.com/remote-config-resolver/v3/unauth/configuration → 200 (334ms, 736B)
[2026-07-09T12:32:14.183Z] POST https://clienttoken.spotify.com/v1/clienttoken → 200 (224ms, 600B)
[2026-07-09T12:32:14.258Z] GET https://www.gstatic.com/recaptcha/releases/TnA7HacJFoDyljdc3L82L3Rh/recaptcha__en.js → 200 (49ms, 895421B)
[2026-07-09T12:32:14.527Z] GET https://open.spotifycdn.com/cdn/build/web-player/workbox-window.a845cf35.js → 200 (61ms, 5862B)
[2026-07-09T12:32:14.599Z] GET https://www.gstatic.com/cv/js/sender/v1/cast_sender.js?loadCastFramework=1 → 200 (94ms, 4272B)
[2026-07-09T12:32:14.600Z] GET https://cdn.cookielaw.org/scripttemplates/otSDKStub.js → pending (?ms, ?B)
[2026-07-09T12:32:14.600Z] GET https://apresolve.spotify.com/?type=dealer-g2&type=spclient → 200 (93ms, 288B)
[2026-07-09T12:32:14.600Z] POST https://gew4-spclient.spotify.com/gabo-receiver-service/public/v3/events → pending (?ms, ?B)
[2026-07-09T12:32:14.616Z] GET https://open.spotifycdn.com/cdn/build/web-player/dwp-feedback-bar.2e2835d7.css → 200 (60ms, 557B)
[2026-07-09T12:32:14.616Z] GET https://open.spotifycdn.com/cdn/build/web-player/dwp-feedback-bar.b461bbcf.js → 200 (77ms, 1498B)
[2026-07-09T12:32:14.627Z] GET https://open.spotifycdn.com/cdn/build/web-player/xpui-routes-your-library-x.e967cee9.css → 200 (66ms, ?B)
[2026-07-09T12:32:14.627Z] GET https://open.spotifycdn.com/cdn/build/web-player/xpui-routes-your-library-x.6522ae28.js → pending (?ms, ?B)
[2026-07-09T12:32:14.627Z] GET https://open.spotifycdn.com/cdn/build/web-player/8025.ccb78aef.js → pending (?ms, ?B)
[2026-07-09T12:32:14.627Z] GET https://open.spotifycdn.com/cdn/build/web-player/2616.73279c5c.js → pending (?ms, ?B)
[2026-07-09T12:32:14.627Z] GET https://open.spotifycdn.com/cdn/build/web-player/6660.e7d05c24.js → pending (?ms, ?B)
[2026-07-09T12:32:14.627Z] GET https://open.spotifycdn.com/cdn/build/web-player/1897.db63e2ea.js → pending (?ms, ?B)
[2026-07-09T12:32:14.627Z] GET https://open.spotifycdn.com/cdn/build/web-player/2075.35b6bd2d.js → pending (?ms, ?B)
[2026-07-09T12:32:14.627Z] GET https://open.spotifycdn.com/cdn/build/web-player/dwp-now-playing-bar.1817e908.css → pending (?ms, ?B)
[2026-07-09T12:32:14.627Z] GET https://open.spotifycdn.com/cdn/build/web-player/dwp-now-playing-bar.29e52ca7.js → pending (?ms, ?B)
[2026-07-09T12:32:14.633Z] GET https://open.spotifycdn.com/cdn/build/web-player/dwp-top-bar.0199b34c.css → pending (?ms, ?B)
[2026-07-09T12:32:14.633Z] GET https://open.spotifycdn.com/cdn/build/web-player/dwp-top-bar.35073684.js → pending (?ms, ?B)
[2026-07-09T12:32:14.633Z] GET https://open.spotifycdn.com/cdn/build/web-player/2534.bf64ecea.js → pending (?ms, ?B)
[2026-07-09T12:32:14.633Z] GET https://open.spotifycdn.com/cdn/build/web-player/1271.c2015abe.js → pending (?ms, ?B)
[2026-07-09T12:32:14.633Z] GET https://open.spotifycdn.com/cdn/build/web-player/3219.bb0b5ceb.js → 200 (44ms, 14810B)
[2026-07-09T12:32:14.633Z] GET https://open.spotifycdn.com/cdn/build/web-player/8831.7284c2ba.js → pending (?ms, ?B)
[2026-07-09T12:32:14.633Z] GET https://open.spotifycdn.com/cdn/build/web-player/1203.f51fb74c.js → pending (?ms, ?B)
[2026-07-09T12:32:14.633Z] GET https://open.spotifycdn.com/cdn/build/web-player/7417.2f0484c3.js → pending (?ms, ?B)
[2026-07-09T12:32:14.633Z] GET https://open.spotifycdn.com/cdn/build/web-player/1351.45feb07d.js → pending (?ms, ?B)
[2026-07-09T12:32:14.633Z] GET https://open.spotifycdn.com/cdn/build/web-player/xpui-routes-show.04b63fe6.css → pending (?ms, ?B)
[2026-07-09T12:32:14.633Z] GET https://open.spotifycdn.com/cdn/build/web-player/xpui-routes-show.772fb41a.js → pending (?ms, ?B)
[2026-07-09T12:32:14.671Z] GET https://open.spotifycdn.com/cdn/build/web-player/dwp-video-player.1c49a54a.css → pending (?ms, ?B)
[2026-07-09T12:32:14.671Z] GET https://open.spotifycdn.com/cdn/build/web-player/dwp-video-player.2197645b.js → pending (?ms, ?B)
[2026-07-09T12:32:14.671Z] GET https://open.spotifycdn.com/cdn/build/web-player/7466.45fc9c6e.js → pending (?ms, ?B)
[2026-07-09T12:32:14.671Z] GET https://open.spotifycdn.com/cdn/build/web-player/2323.1216cf1b.js → pending (?ms, ?B)
[2026-07-09T12:32:14.671Z] GET https://open.spotifycdn.com/cdn/build/web-player/6288.173933fa.js → pending (?ms, ?B)
[2026-07-09T12:32:14.671Z] GET https://open.spotifycdn.com/cdn/build/web-player/2489.d9eeba4b.js → pending (?ms, ?B)
[2026-07-09T12:32:14.671Z] GET https://open.spotifycdn.com/cdn/build/web-player/1891.7b20b903.js → pending (?ms, ?B)
